state,abn_counties_rate,avg_age_mother,mother_bmi
AK,0.5,28.404166666666665,27.9475
NH,0.42307692307692307,29.995,27.417307692307691
RI,0.36842105263157893,30.144210526315788,26.817894736842103
KY,0.32258064516129031,27.725806451612904,27.923225806451612
WV,0.30769230769230771,27.482307692307693,28.400769230769232
NY,0.26271186440677968,29.868728813559326,27.643008849557521
DC,0.25,29.5525,26.567500000000003
MT,0.25,29.06666666666667,26.8075
WI,0.25,29.039062499999996,28.475156249999998
WA,0.23529411764705882,29.073921568627444,27.579803921568629
FL,0.22137404580152673,28.800763358778632,27.461908396946566
ME,0.21739130434782608,28.6104347826087,28.111739130434781
NE,0.2,28.958666666666669,27.745333333333328
TN,0.1702127659574468,28.10425531914894,27.402553191489364
MA,0.16279069767441862,30.789069767441859,26.301190476190474
CO,0.14285714285714285,29.703095238095234,26.896190476190476
TX,0.12408759124087591,28.293065693430648,27.972335766423353
ID,0.11764705882352941,28.08,27.438235294117646
MI,0.086956521739130432,28.437536231884064,28.618985507246382
IL,0.086956521739130432,28.954782608695652,28.654202898550729
GA,0.0625,28.63125,28.567625000000003
MN,0.057142857142857141,29.894571428571425,28.145142857142861
MD,0.045454545454545456,29.714545454545462,28.021818181818187
PA,0.030303030303030304,28.881919191919206,27.644444444444439
CA,0.018181818181818181,30.070727272727275,27.482568807339444
OH,0.011363636363636364,28.411818181818187,28.113522727272724
ND,0.0,28.883333333333329,28.68333333333333
NM,0.0,28.026111111111113,27.542222222222222
SC,0.0,28.333125,28.878125000000004
IA,0.0,28.635238095238094,28.176190476190477
VA,0.0,29.935833333333338,27.933958333333337
AZ,0.0,28.080666666666673,27.959666666666667
NC,0.0,28.593690476190471,28.255119047619043
NV,0.0,28.731111111111112,27.601111111111113
OR,0.0,29.197333333333333,27.949666666666662
CT,0.0,30.401666666666664,27.549583333333331
SD,0.0,28.177777777777777,27.488888888888891
HI,0.0,29.8775,27.2725
IN,0.0,28.230555555555558,28.709814814814813
UT,0.0,28.378571428571433,27.053333333333327
KS,0.0,28.36,28.360555555555553
MO,0.0,28.419696969696972,28.077575757575755
OK,0.0,27.887222222222224,28.629444444444442
WY,0.0,27.84,27.13
DE,0.0,28.539999999999996,27.981111111111112
MS,0.0,27.72,28.91
NJ,0.0,30.54066666666667,27.241499999999991
AR,0.0,27.946190476190473,28.174761904761908
LA,0.0,28.050222222222217,28.786444444444445
VT,0.0,30.103333333333332,28.021666666666665
AL,0.0,27.97,28.835897435897436
