state,abn_counties_proportion
AK,0.5
NH,0.42307692307692307
RI,0.36842105263157893
KY,0.32258064516129031
WV,0.30769230769230771
NY,0.26271186440677968
DC,0.25
MT,0.25
WI,0.25
WA,0.23529411764705882
FL,0.22137404580152673
ME,0.21739130434782608
NE,0.2
TN,0.1702127659574468
MA,0.16279069767441862
CO,0.14285714285714285
TX,0.12408759124087591
ID,0.11764705882352941
MI,0.086956521739130432
IL,0.086956521739130432
GA,0.0625
MN,0.057142857142857141
MD,0.045454545454545456
PA,0.030303030303030304
CA,0.018181818181818181
OH,0.011363636363636364
ND,0.0
NM,0.0
SC,0.0
IA,0.0
VA,0.0
AZ,0.0
NC,0.0
NV,0.0
OR,0.0
CT,0.0
SD,0.0
HI,0.0
IN,0.0
UT,0.0
KS,0.0
MO,0.0
OK,0.0
WY,0.0
DE,0.0
MS,0.0
NJ,0.0
AR,0.0
LA,0.0
VT,0.0
AL,0.0
