state,magnitude,event_type
Ha,144.0,high wind
Ca,139.0,high wind
Ca,136.0,high wind
Ut,129.0,high wind
So,113.0,thunderstorm wind
Ut,113.0,high wind
Wy,111.0,high wind
So,109.0,thunderstorm wind
So,104.0,thunderstorm wind
Oh,104.0,thunderstorm wind
No,104.0,thunderstorm wind
No,104.0,thunderstorm wind
So,104.0,thunderstorm wind
Ca,104.0,high wind
Oh,104.0,thunderstorm wind
So,104.0,thunderstorm wind
Ca,103.0,high wind
Ne,101.0,high wind
Co,101.0,high wind
Ca,101.0,high wind
Ka,100.0,thunderstorm wind
Ca,98.0,high wind
Ne,97.0,high wind
Ca,97.0,high wind
Wy,96.0,high wind
Pe,96.0,thunderstorm wind
Ca,96.0,high wind
De,96.0,thunderstorm wind
De,96.0,thunderstorm wind
De,96.0,thunderstorm wind
Ka,96.0,thunderstorm wind
So,96.0,thunderstorm wind
Mi,96.0,thunderstorm wind
Mi,96.0,thunderstorm wind
Ca,96.0,high wind
No,96.0,thunderstorm wind
Pe,96.0,thunderstorm wind
Ca,96.0,high wind
No,96.0,thunderstorm wind
Ca,95.0,high wind
Ca,95.0,high wind
Ca,95.0,high wind
Ne,95.0,high wind
Wy,95.0,high wind
Ne,94.0,high wind
Ca,94.0,high wind
So,93.0,thunderstorm wind
Wy,93.0,high wind
Co,92.0,high wind
Co,91.0,high wind
Te,91.0,thunderstorm wind
So,91.0,thunderstorm wind
So,91.0,thunderstorm wind
Ne,91.0,thunderstorm wind
Ca,91.0,high wind
Ca,90.0,high wind
Ca,90.0,high wind
Wa,90.0,high wind
Ne,90.0,high wind
Ne,90.0,high wind
Ca,89.0,high wind
Ca,89.0,high wind
We,89.0,thunderstorm wind
Ca,89.0,high wind
So,89.0,thunderstorm wind
Ca,88.0,high wind
Ca,88.0,high wind
Ok,87.0,thunderstorm wind
Ok,87.0,thunderstorm wind
Pe,87.0,thunderstorm wind
Co,87.0,high wind
Ka,87.0,thunderstorm wind
Oh,87.0,thunderstorm wind
Oh,87.0,thunderstorm wind
In,87.0,thunderstorm wind
Te,87.0,thunderstorm wind
Ca,87.0,high wind
Ka,87.0,thunderstorm wind
Ka,87.0,thunderstorm wind
Ar,87.0,thunderstorm wind
Wi,87.0,thunderstorm wind
Ok,87.0,thunderstorm wind
Ok,87.0,thunderstorm wind
Ok,87.0,thunderstorm wind
Ok,87.0,thunderstorm wind
Ne,87.0,thunderstorm wind
Mi,87.0,thunderstorm wind
Wy,87.0,thunderstorm wind
Ne,87.0,thunderstorm wind
Te,87.0,thunderstorm wind
Ka,87.0,thunderstorm wind
Ka,87.0,thunderstorm wind
Ne,87.0,thunderstorm wind
Ka,87.0,thunderstorm wind
Al,87.0,thunderstorm wind
So,87.0,thunderstorm wind
No,87.0,thunderstorm wind
No,87.0,thunderstorm wind
Ok,87.0,thunderstorm wind
So,87.0,thunderstorm wind
Te,87.0,thunderstorm wind
Ne,87.0,thunderstorm wind
In,87.0,thunderstorm wind
Al,87.0,thunderstorm wind
Ne,87.0,thunderstorm wind
Mi,87.0,thunderstorm wind
In,87.0,thunderstorm wind
So,87.0,thunderstorm wind
Ne,87.0,thunderstorm wind
Ne,87.0,thunderstorm wind
Mi,87.0,thunderstorm wind
No,87.0,thunderstorm wind
Mi,87.0,thunderstorm wind
Pe,87.0,thunderstorm wind
Wi,87.0,thunderstorm wind
No,87.0,thunderstorm wind
Ok,87.0,thunderstorm wind
Ok,86.0,thunderstorm wind
Ca,86.0,high wind
Ka,86.0,thunderstorm wind
So,86.0,thunderstorm wind
Ca,86.0,high wind
Wy,86.0,high wind
Wa,86.0,high wind
Or,86.0,high wind
Ca,85.0,high wind
Ca,85.0,high wind
We,85.0,thunderstorm wind
Vi,85.0,thunderstorm wind
Ne,84.0,high wind
So,84.0,thunderstorm wind
So,84.0,thunderstorm wind
Id,83.0,high wind
Or,83.0,high wind
Ne,83.0,high wind
Oh,83.0,thunderstorm wind
Il,83.0,thunderstorm wind
Ut,83.0,high wind
Lo,83.0,thunderstorm wind
So,83.0,thunderstorm wind
Te,83.0,thunderstorm wind
Mi,83.0,thunderstorm wind
Te,83.0,thunderstorm wind
Mi,83.0,thunderstorm wind
No,83.0,thunderstorm wind
Ka,83.0,thunderstorm wind
Ca,83.0,high wind
Al,83.0,high wind
Mi,83.0,thunderstorm wind
Mi,83.0,thunderstorm wind
Ka,83.0,thunderstorm wind
Al,83.0,thunderstorm wind
Ut,83.0,high wind
Ka,83.0,thunderstorm wind
Te,83.0,thunderstorm wind
Ne,83.0,thunderstorm wind
So,83.0,thunderstorm wind
So,83.0,thunderstorm wind
Ne,83.0,high wind
So,83.0,thunderstorm wind
So,83.0,thunderstorm wind
So,83.0,thunderstorm wind
So,83.0,thunderstorm wind
So,83.0,thunderstorm wind
Ne,83.0,thunderstorm wind
So,83.0,thunderstorm wind
So,83.0,thunderstorm wind
Ne,83.0,thunderstorm wind
Ne,83.0,thunderstorm wind
Ca,83.0,high wind
So,83.0,thunderstorm wind
So,83.0,thunderstorm wind
Ne,83.0,thunderstorm wind
So,83.0,thunderstorm wind
Lo,83.0,thunderstorm wind
Mi,83.0,thunderstorm wind
Ca,83.0,high wind
Ne,83.0,thunderstorm wind
Mi,83.0,thunderstorm wind
Co,83.0,high wind
Te,83.0,thunderstorm wind
Te,83.0,thunderstorm wind
Ka,83.0,thunderstorm wind
Te,83.0,high wind
Oh,82.0,thunderstorm wind
Or,82.0,high wind
Ka,82.0,thunderstorm wind
Mi,82.0,thunderstorm wind
Wy,82.0,high wind
Mi,82.0,thunderstorm wind
Wy,82.0,thunderstorm wind
Wy,82.0,thunderstorm wind
Ne,82.0,high wind
Wy,81.0,high wind
Ne,81.0,high wind
Or,81.0,high wind
Ne,81.0,high wind
Al,81.0,thunderstorm wind
Mi,81.0,thunderstorm wind
Al,81.0,thunderstorm wind
Ne,81.0,high wind
Ne,81.0,high wind
Ne,81.0,high wind
Ca,81.0,high wind
